legacy_chunk_id,legacy_citation,legacy_type,qa_count,mapping_status,mapping_method,parent_id,parent_canonical_citation,match_score,cosine_similarity,source_token_coverage,score_margin,candidate_parent_ids
CHUNK_0014,Article 3 — Subject matter and scope,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_3,Article 3,0.987892,0.998366,0.983402,0.198643,EU_376_2014_ART_3;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_4_7
CHUNK_0015,Article 4 — Mandatory reporting,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_4,Article 4,0.996131,0.999811,0.994553,0.278099,EU_376_2014_ART_4;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_2;GM_EU_376_2014_SEC_2_3;EU_376_2014_ART_13
CHUNK_0016,Article 5 — Voluntary reporting,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_5,Article 5,0.992608,0.999413,0.989691,0.196159,EU_376_2014_ART_5;EU_376_2014_RECITALS;EU_376_2014_ART_4;EU_376_2014_ART_13;GM_EU_376_2014_SEC_2_13
CHUNK_0017,Article 6 — Collection and storage of information,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_6,Article 6,0.9937,0.999611,0.991166,0.200694,EU_376_2014_ART_6;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_376_2014_ART_13;GM_EU_376_2014_SEC_4_7
CHUNK_0018,Article 7 — Quality and content of occurrence reports,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_7,Article 7,0.991391,0.999415,0.987952,0.205888,EU_376_2014_ART_7;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;EU_376_2014_ART_13;EU_376_2014_ART_16
CHUNK_0019,Article 8 — European Central Repository,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_8,Article 8,0.977602,0.996477,0.969512,0.19041,EU_376_2014_ART_8;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;EU_376_2014_ART_7;EU_376_2014_ART_4
CHUNK_0020,Article 9 — Exchange of information,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_9,Article 9,0.984376,0.997778,0.978632,0.166829,EU_376_2014_ART_9;EU_376_2014_RECITALS;EU_376_2014_ART_13;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_3
CHUNK_0021,Article 10 — Dissemination of information stored in the European Central Repository,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_10,Article 10,0.980169,0.996622,0.973118,0.187607,EU_376_2014_ART_10;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_376_2014_ART_11;EU_376_2014_ART_2
CHUNK_0022,Article 11 — Processing of requests and decisions,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_11,Article 11,0.9923,0.999477,0.989224,0.297828,EU_376_2014_ART_11;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_3_16
CHUNK_0023,Article 12 — Record of requests and exchange of information,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_12,Article 12,0.950174,0.987421,0.934211,0.226683,EU_376_2014_ART_12;EU_376_2014_RECITALS;EU_376_2014_ART_11;EU_376_2014_ART_13;GM_EU_376_2014_SEC_2_13
CHUNK_0024,Article 13 — Occurrence analysis and follow-up at national level,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_13,Article 13,0.995944,0.999814,0.994286,0.207871,EU_376_2014_ART_13;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_376_2014_ART_4;GM_EU_376_2014_SEC_2_2
CHUNK_0025,Article 14 — Occurrence analysis and follow up at Union level,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_14,Article 14,0.98017,0.998004,0.972527,0.129225,EU_376_2014_ART_14;EU_376_2014_RECITALS;EU_2020_2034_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_13
CHUNK_0026,Article 15 — Confidentiality and appropriate use of information,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_15,Article 15,0.989019,0.998857,0.984802,0.122704,EU_376_2014_ART_15;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_3_16
CHUNK_0027,Article 16 — Protection of the information source,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_16,Article 16,0.995089,0.999655,0.993132,0.216543,EU_376_2014_ART_16;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_4_7
CHUNK_0028,Article 17 — Updating of the annexes,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_17,Article 17,0.974457,0.995318,0.965517,0.162743,EU_376_2014_ART_17;EU_376_2014_RECITALS;EU_376_2014_ART_7;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16
CHUNK_0029,Article 18 — Exercise of the delegation,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_18,Article 18,0.98901,0.999153,0.984663,0.278642,EU_376_2014_ART_18;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_13;EU_376_2014_ART_13
CHUNK_0030,Article 19 — Committee procedure,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_19,Article 19,0.957802,0.991916,0.943182,0.281919,EU_376_2014_ART_19;EU_2015_1018_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_13
CHUNK_0031,Article 20 — Access to documents and protection of personal data,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_20,Article 20,0.94323,0.982335,0.926471,0.175782,EU_376_2014_ART_20;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_13;EU_376_2014_ART_15
CHUNK_0032,Article 21 — Penalties,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_21,Article 21,0.911185,0.963208,0.888889,0.221008,EU_376_2014_ART_21;GM_EU_376_2014_SEC_2_13;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_4_7;EU_2021_2082_RECITALS
CHUNK_0033,Article 19 of Regulation (EU) No 996/2010 is deleted.,SECTION,0,auto_mapped,legacy_contained_by_parent,EU_376_2014_ART_22,Article 22,0.967724,0.892413,1.0,0.187669,EU_376_2014_ART_22;EU_376_2014_ART_23;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_4_5;EU_376_2014_ART_16
CHUNK_0034,Article 23 — Repeals,ARTICLE,0,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_23,Article 23,0.902339,0.96613,0.875,0.170644,EU_376_2014_ART_23;EU_2021_2082_RECITALS;EU_2015_1018_RECITALS;EU_2020_2034_RECITALS;EU_376_2014_RECITALS
CHUNK_0035,Article 24 — Entry into force and application,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_376_2014_ART_24,Article 24,0.980741,0.997206,0.973684,0.225174,EU_376_2014_ART_24;EU_2021_2082_RECITALS;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_2020_2034_RECITALS
CHUNK_0036,ANNEX I — LIST OF REQUIREMENTS APPLICABLE TO THE MANDATORY AND VOLUNTARY OCCURRENCE REPORTING SCHEMES,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_376_2014_ANNEX_I,Annex I,0.993609,0.999494,0.991087,0.378601,EU_376_2014_ANNEX_I;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_2020_2034_ANNEX;GM_EU_376_2014_SEC_2_3
CHUNK_0037,ANNEX II — INTERESTED PARTIES,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_376_2014_ANNEX_II,Annex II,0.988702,0.998684,0.984424,0.416809,EU_376_2014_ANNEX_II;GM_EU_376_2014_SEC_2_2;EU_376_2014_RECITALS;EU_376_2014_ART_4;GM_EU_376_2014_SEC_2_3
CHUNK_0038,ANNEX III — REQUEST FOR INFORMATION FROM THE EUROPEAN CENTRAL REPOSITORY,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_376_2014_ANNEX_III,Annex III,0.986784,0.99837,0.981818,0.233573,EU_376_2014_ANNEX_III;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_3_16
CHUNK_0039,Cover Regulation,SECTION,0,review_required,fuzzy_review,EU_2015_1018_RECITALS,Powers and recitals,0.757234,0.743413,0.763158,0.012133,EU_2015_1018_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_1_1;GM_EU_376_2014_SEC_5_3;EU_2020_2034_RECITALS
CHUNK_0040,Powers and recitals,SECTION,0,auto_mapped,parent_contained_by_legacy,EU_2015_1018_RECITALS,Powers and recitals,0.993212,0.999491,0.990521,0.144945,EU_2015_1018_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_2_2
CHUNK_0041,Article 1,ARTICLE,0,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ART_1,Article 1,0.927444,0.975202,0.906977,0.092589,EU_2015_1018_ART_1;GM_EU_376_2014_SEC_2_3;EU_2015_1018_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_5_3
CHUNK_0042,Article 2,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ART_2,Article 2,0.950412,0.982855,0.936508,0.130535,EU_2015_1018_ART_2;EU_376_2014_ART_24;EU_2020_2034_ART_4;GM_EU_376_2014_SEC_4_5;EU_376_2014_RECITALS
CHUNK_0043,ANNEX I — OCCURRENCES RELATED TO THE OPERATION OF THE AIRCRAFT,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ANNEX_I,Annex I,0.997688,0.999898,0.99674,0.287335,EU_2015_1018_ANNEX_I;EU_2015_1018_ANNEX_V;EU_2015_1018_ANNEX_IV;EU_2020_2034_ANNEX;EU_2015_1018_ANNEX_III
CHUNK_0044,"ANNEX II — OCCURRENCES RELATED TO TECHNICAL CONDITIONS, MAINTENANCE AND REPAIR OF THE AIRCRAFT",ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ANNEX_II,Annex II,0.994556,0.999532,0.992424,0.309452,EU_2015_1018_ANNEX_II;EU_2015_1018_ANNEX_I;EU_2015_1018_ANNEX_IV;EU_2015_1018_ANNEX_V;GM_EU_376_2014_SEC_2_2
CHUNK_0045,ANNEX III — OCCURRENCES RELATED TO AIR NAVIGATION SERVICES AND FACILITIES,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ANNEX_III,Annex III,0.99442,0.999315,0.992322,0.229364,EU_2015_1018_ANNEX_III;EU_2015_1018_ANNEX_I;EU_2015_1018_ANNEX_IV;EU_2015_1018_ANNEX_V;EU_376_2014_ART_4
CHUNK_0046,ANNEX IV — OCCURRENCES RELATED TO AERODROMES AND GROUND SERVICES,ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ANNEX_IV,Annex IV,0.997281,0.999877,0.996169,0.272008,EU_2015_1018_ANNEX_IV;EU_2015_1018_ANNEX_I;EU_2015_1018_ANNEX_V;EU_2020_2034_ANNEX;EU_2015_1018_ANNEX_III
CHUNK_0047,"ANNEX V— OCCURRENCES RELATED TO AIRCRAFT OTHER THAN COMPLEX MOTOR-POWERED AIRCRAFT, INCLUDING SAILPLANES AND LIGHTER-THAN-AIR VEHICLES",ANNEX,2,auto_mapped,parent_contained_by_legacy,EU_2015_1018_ANNEX_V,Annex V,0.998056,0.999925,0.997255,0.358521,EU_2015_1018_ANNEX_V;EU_2015_1018_ANNEX_I;EU_2015_1018_ANNEX_IV;EU_2020_2034_ANNEX;EU_376_2014_RECITALS
CHUNK_0048,Cover Regulation,SECTION,0,auto_mapped,parent_contained_by_legacy,EU_2020_2034_RECITALS,Powers and recitals,0.947262,0.996339,0.92623,0.099685,EU_2020_2034_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;GM_EU_376_2014_SEC_1_1;GM_EU_376_2014_SEC_2_13
CHUNK_0049,Article 1 – Subject matter,ARTICLE,0,auto_mapped,parent_contained_by_legacy,EU_2020_2034_ART_1,Article 1,0.871459,0.944862,0.84,0.037969,EU_2020_2034_ART_1;EU_2021_2082_RECITALS;EU_2020_2034_RECITALS;EU_2021_2082_ART_1;EU_376_2014_RECITALS
CHUNK_0050,Article 2 – Definitions,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2020_2034_ART_2,Article 2,0.984638,0.997659,0.979058,0.279864,EU_2020_2034_ART_2;EU_2020_2034_ANNEX;EU_376_2014_RECITALS;EU_376_2014_ART_2;EU_2021_2082_RECITALS
CHUNK_0051,Article 3 – Common European risk classification scheme,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2020_2034_ART_3,Article 3,0.975727,0.996226,0.966942,0.17404,EU_2020_2034_ART_3;EU_2020_2034_ANNEX;EU_2021_2082_ANNEX;EU_376_2014_RECITALS;EU_2021_2082_RECITALS
CHUNK_0052,Article 4 – Entry into force,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2020_2034_ART_4,Article 4,0.838148,0.934451,0.796875,0.026287,EU_2020_2034_ART_4;EU_376_2014_ART_24;EU_2015_1018_ART_2;EU_2021_2082_RECITALS;EU_376_2014_RECITALS
CHUNK_0053,The common European risk classification scheme,SECTION,0,review_required,fuzzy_review,EU_2020_2034_ANNEX,Annex,0.972077,0.910614,0.998418,0.468926,EU_2020_2034_ANNEX;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_2021_2082_ANNEX;EU_2015_1018_ANNEX_V
CHUNK_0054,Commission Implementing Regulation (EU) 2021/2082,SECTION,0,review_required,fuzzy_review,EU_2021_2082_RECITALS,Powers and recitals,0.77426,0.701236,0.805556,0.00995,EU_2021_2082_RECITALS;EU_2020_2034_RECITALS;EU_376_2014_RECITALS;EU_376_2014_ART_24;GM_EU_376_2014_SEC_1_1
CHUNK_0055,Cover Regulation,SECTION,0,auto_mapped,parent_contained_by_legacy,EU_2021_2082_RECITALS,Powers and recitals,0.996578,0.999879,0.995163,0.167274,EU_2021_2082_RECITALS;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_2_2
CHUNK_0056,Article 1 — Subject matter,ARTICLE,0,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ART_1,Article 1,0.890151,0.955677,0.862069,0.086433,EU_2021_2082_ART_1;EU_2021_2082_RECITALS;EU_2020_2034_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_ANNEX
CHUNK_0057,Article 2 — Definitions,ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ART_2,Article 2,0.985079,0.998127,0.979487,0.359737,EU_2021_2082_ART_2;EU_376_2014_RECITALS;EU_2021_2082_ANNEX;EU_2021_2082_RECITALS;EU_2020_2034_RECITALS
CHUNK_0058,"Article 3 — Review, amendment, and endorsement of the safety risk classification",ARTICLE,3,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ART_3,Article 3,0.979308,0.996753,0.971831,0.165588,EU_2021_2082_ART_3;EU_2021_2082_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_ANNEX;EU_376_2014_ART_4
CHUNK_0059,Article 4 — Monitoring and improvement of the ERCS,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ART_4,Article 4,0.972536,0.994872,0.962963,0.204493,EU_2021_2082_ART_4;EU_376_2014_RECITALS;EU_2021_2082_RECITALS;EU_2020_2034_RECITALS;EU_376_2014_ART_13
CHUNK_0060,Article 5 — Monitoring of compatibility with other risk classification schemes,ARTICLE,7,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ART_5,Article 5,0.966163,0.993272,0.954545,0.191017,EU_2021_2082_ART_5;EU_2021_2082_RECITALS;EU_376_2014_RECITALS;EU_2021_2082_ART_4;EU_2020_2034_RECITALS
CHUNK_0061,Article 6 — Entry into force,ARTICLE,0,review_required,fuzzy_review,EU_2021_2082_ART_6,Article 6,0.696851,0.815892,0.645833,0.036049,EU_2021_2082_ART_6;EU_376_2014_ART_24;EU_2020_2034_ART_4;EU_2015_1018_ART_2;EU_2021_2082_RECITALS
CHUNK_0062,Conversion procedures from the Risk Analysis Tool (RAT) and Aviation Risk Management Solutions — Event Risk Classification (ARMS-ERC) scores into the European Risk Classification Scheme (ERCS) scores,SECTION,0,auto_mapped,parent_contained_by_legacy,EU_2021_2082_ANNEX,Annex,0.997458,0.99992,0.996403,0.347785,EU_2021_2082_ANNEX;EU_2020_2034_ANNEX;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;EU_2021_2082_RECITALS
CHUNK_0063,GM to Reg. (EU) No 376/2014 and its IRs [01],GM,0,review_required,fuzzy_review,EU_376_2014_RECITALS,Powers and recitals,0.707889,0.376298,0.85,0.055598,EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_3_6;GM_EU_376_2014_SEC_1_2;EU_2021_2082_RECITALS
CHUNK_0064,GM to Reg. (EU) No 376/2014 and its IRs [02],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_1,GM 1.1,1.0,1.0,1.0,0.166993,GM_EU_376_2014_SEC_1_1;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_4_7
CHUNK_0065,GM to Reg. (EU) No 376/2014 and its IRs [03],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_2,GM 1.2,1.0,1.0,1.0,0.23921,GM_EU_376_2014_SEC_1_2;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_1_1;GM_EU_376_2014_SEC_3_16
CHUNK_0066,GM to Reg. (EU) No 376/2014 and its IRs [04],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_3,GM 1.3,1.0,1.0,1.0,0.317361,GM_EU_376_2014_SEC_1_3;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_1_1
CHUNK_0067,GM to Reg. (EU) No 376/2014 and its IRs [05],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_4,GM 1.4,1.0,1.0,1.0,0.270538,GM_EU_376_2014_SEC_1_4;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7;EU_2021_2082_RECITALS
CHUNK_0068,GM to Reg. (EU) No 376/2014 and its IRs [06],GM,2,auto_mapped,legacy_contained_by_parent,GM_EU_376_2014_SEC_1_5,GM 1.5,0.949439,0.831464,1.0,0.259626,GM_EU_376_2014_SEC_1_5;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_2_2
CHUNK_0069,GM to Reg. (EU) No 376/2014 and its IRs [07],GM,2,auto_mapped,legacy_contained_by_parent,GM_EU_376_2014_SEC_1_6,GM 1.6,0.911221,0.704071,1.0,0.221893,GM_EU_376_2014_SEC_1_6;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_3_16;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_4_7
CHUNK_0070,"Article 3(2) of Regulation 376/2014 states that the Regulation ‘‘applies to occurrences and other safety-related information involving civil aircraft, with the exception of aircraft referred to in Annex II to Regulation (EC) No 216/2008’’. The paragraph continues as follows ‘‘Member States may decide to apply this Regulation also to occurrences and other safety-related information involving the aircraft referred to in Annex II to that Regulation’’. In such case, while the Regulation is only applicable to non-Annex II aircraft, the possibility is given to States to go beyond and to equally apply it to Annex II aircraft.",ARTICLE,3,auto_mapped,legacy_contained_by_parent,GM_EU_376_2014_SEC_1_6,GM 1.6,0.92531,0.751035,1.0,0.183861,GM_EU_376_2014_SEC_1_6;GM_EU_376_2014_SEC_4_7;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_3_7;GM_EU_376_2014_SEC_2_13
CHUNK_0071,GM to Reg. (EU) No 376/2014 and its IRs [08],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_7,GM 1.7,1.0,1.0,1.0,0.225337,GM_EU_376_2014_SEC_1_7;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_2;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_2_13
CHUNK_0072,GM to Reg. (EU) No 376/2014 and its IRs [09],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_1_8,GM 1.8,1.0,1.0,1.0,0.245746,GM_EU_376_2014_SEC_1_8;GM_EU_376_2014_SEC_2_13;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_2_2
CHUNK_0073,GM to Reg. (EU) No 376/2014 and its IRs [10],GM,2,auto_mapped,normalized_equal,GM_EU_376_2014_SEC_2_1,GM 2.1,1.0,1.0,1.0,0.170817,GM_EU_376_2014_SEC_2_1;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_5_1;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_1_1
CHUNK_0074,GM to Reg. (EU) No 376/2014 and its IRs [11],GM,2,auto_mapped,legacy_contained_by_parent,GM_EU_376_2014_SEC_2_2,GM 2.2,0.940419,0.801398,1.0,0.181903,GM_EU_376_2014_SEC_2_2;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_2_3;GM_EU_376_2014_SEC_2_13;GM_EU_376_2014_SEC_3_16
CHUNK_0075,Article 4(6)(a) covers both pilots in command operating in the context of commercial air transport as well as private pilots operating on an aircraft covered by the Regulation.,ARTICLE,7,auto_mapped,legacy_contained_by_parent,GM_EU_376_2014_SEC_2_2,GM 2.2,0.921363,0.737877,1.0,0.233551,GM_EU_376_2014_SEC_2_2;GM_EU_376_2014_SEC_2_3;EU_376_2014_RECITALS;GM_EU_376_2014_SEC_4_7;GM_EU_376_2014_SEC_2_13
