qa_id,legacy_source_chunk,gold_citation,parent_id,parent_canonical_citation,mapping_status,mapping_method,match_score,source_token_coverage,review_note
QA_0018,CHUNK_0016,Article 5(4),EU_376_2014_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.992608,0.989691,
QA_0019,CHUNK_0016,Article 5(6),EU_376_2014_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.992608,0.989691,
QA_0020,CHUNK_0017,Article 6(1),EU_376_2014_ART_6,Article 6,auto_mapped,parent_contained_by_legacy,0.9937,0.991166,
QA_0021,CHUNK_0017,Article 6(2),EU_376_2014_ART_6,Article 6,auto_mapped,parent_contained_by_legacy,0.9937,0.991166,
QA_0022,CHUNK_0017,Article 6(3),EU_376_2014_ART_6,Article 6,auto_mapped,parent_contained_by_legacy,0.9937,0.991166,
QA_0023,CHUNK_0018,Article 7(1),EU_376_2014_ART_7,Article 7,auto_mapped,parent_contained_by_legacy,0.991391,0.987952,
QA_0024,CHUNK_0018,Article 7(5),EU_376_2014_ART_7,Article 7,auto_mapped,parent_contained_by_legacy,0.991391,0.987952,
QA_0025,CHUNK_0018,Article 7(8),EU_376_2014_ART_7,Article 7,auto_mapped,parent_contained_by_legacy,0.991391,0.987952,
QA_0026,CHUNK_0019,"Article 8, paragraph 1 and 4",EU_376_2014_ART_8,Article 8,auto_mapped,parent_contained_by_legacy,0.977602,0.969512,
QA_0027,CHUNK_0019,"Article 8, paragraph 2",EU_376_2014_ART_8,Article 8,auto_mapped,parent_contained_by_legacy,0.977602,0.969512,
QA_0028,CHUNK_0019,"Article 8, paragraph 3",EU_376_2014_ART_8,Article 8,auto_mapped,parent_contained_by_legacy,0.977602,0.969512,
QA_0029,CHUNK_0020,Article 9(1),EU_376_2014_ART_9,Article 9,auto_mapped,parent_contained_by_legacy,0.984376,0.978632,
QA_0030,CHUNK_0020,Article 9(2),EU_376_2014_ART_9,Article 9,auto_mapped,parent_contained_by_legacy,0.984376,0.978632,
QA_0031,CHUNK_0020,Article 9(3),EU_376_2014_ART_9,Article 9,auto_mapped,parent_contained_by_legacy,0.984376,0.978632,
QA_0032,CHUNK_0021,Article 10(1),EU_376_2014_ART_10,Article 10,auto_mapped,parent_contained_by_legacy,0.980169,0.973118,
QA_0033,CHUNK_0021,Article 10(2),EU_376_2014_ART_10,Article 10,auto_mapped,parent_contained_by_legacy,0.980169,0.973118,
QA_0034,CHUNK_0021,Article 10(3),EU_376_2014_ART_10,Article 10,auto_mapped,parent_contained_by_legacy,0.980169,0.973118,
QA_0035,CHUNK_0022,Article 11(1),EU_376_2014_ART_11,Article 11,auto_mapped,parent_contained_by_legacy,0.9923,0.989224,
QA_0036,CHUNK_0022,Article 11(5),EU_376_2014_ART_11,Article 11,auto_mapped,parent_contained_by_legacy,0.9923,0.989224,
QA_0037,CHUNK_0022,Article 11(7),EU_376_2014_ART_11,Article 11,auto_mapped,parent_contained_by_legacy,0.9923,0.989224,
QA_0038,CHUNK_0023,Article 12(1),EU_376_2014_ART_12,Article 12,auto_mapped,parent_contained_by_legacy,0.950174,0.934211,
QA_0039,CHUNK_0023,Article 12(2),EU_376_2014_ART_12,Article 12,auto_mapped,parent_contained_by_legacy,0.950174,0.934211,
QA_0040,CHUNK_0023,Article 12(1),EU_376_2014_ART_12,Article 12,auto_mapped,parent_contained_by_legacy,0.950174,0.934211,
QA_0041,CHUNK_0024,"Article 13, paragraph 1",EU_376_2014_ART_13,Article 13,auto_mapped,parent_contained_by_legacy,0.995944,0.994286,
QA_0042,CHUNK_0024,"Article 13, paragraph 4",EU_376_2014_ART_13,Article 13,auto_mapped,parent_contained_by_legacy,0.995944,0.994286,
QA_0043,CHUNK_0024,"Article 13, paragraphs 4 and 5",EU_376_2014_ART_13,Article 13,auto_mapped,parent_contained_by_legacy,0.995944,0.994286,
QA_0044,CHUNK_0025,Article 14(1),EU_376_2014_ART_14,Article 14,auto_mapped,parent_contained_by_legacy,0.98017,0.972527,
QA_0045,CHUNK_0025,Article 14(2),EU_376_2014_ART_14,Article 14,auto_mapped,parent_contained_by_legacy,0.98017,0.972527,
QA_0046,CHUNK_0025,Article 14(3),EU_376_2014_ART_14,Article 14,auto_mapped,parent_contained_by_legacy,0.98017,0.972527,
QA_0047,CHUNK_0026,Article 15(1),EU_376_2014_ART_15,Article 15,auto_mapped,parent_contained_by_legacy,0.989019,0.984802,
QA_0048,CHUNK_0026,Article 15(2),EU_376_2014_ART_15,Article 15,auto_mapped,parent_contained_by_legacy,0.989019,0.984802,
QA_0049,CHUNK_0026,Article 15(4),EU_376_2014_ART_15,Article 15,auto_mapped,parent_contained_by_legacy,0.989019,0.984802,
QA_0050,CHUNK_0027,Article 16(1),EU_376_2014_ART_16,Article 16,auto_mapped,parent_contained_by_legacy,0.995089,0.993132,
QA_0051,CHUNK_0027,Article 16(3),EU_376_2014_ART_16,Article 16,auto_mapped,parent_contained_by_legacy,0.995089,0.993132,
QA_0052,CHUNK_0027,Article 16(6),EU_376_2014_ART_16,Article 16,auto_mapped,parent_contained_by_legacy,0.995089,0.993132,
QA_0053,CHUNK_0028,Article 17,EU_376_2014_ART_17,Article 17,auto_mapped,parent_contained_by_legacy,0.974457,0.965517,
QA_0054,CHUNK_0028,Article 17,EU_376_2014_ART_17,Article 17,auto_mapped,parent_contained_by_legacy,0.974457,0.965517,
QA_0055,CHUNK_0028,Article 17,EU_376_2014_ART_17,Article 17,auto_mapped,parent_contained_by_legacy,0.974457,0.965517,
QA_0056,CHUNK_0029,Article 18(2),EU_376_2014_ART_18,Article 18,auto_mapped,parent_contained_by_legacy,0.98901,0.984663,
QA_0057,CHUNK_0029,Article 18(2),EU_376_2014_ART_18,Article 18,auto_mapped,parent_contained_by_legacy,0.98901,0.984663,
QA_0058,CHUNK_0029,Article 18(4),EU_376_2014_ART_18,Article 18,auto_mapped,parent_contained_by_legacy,0.98901,0.984663,
QA_0059,CHUNK_0030,Article 19(1),EU_376_2014_ART_19,Article 19,auto_mapped,parent_contained_by_legacy,0.957802,0.943182,
QA_0060,CHUNK_0030,Article 19(2),EU_376_2014_ART_19,Article 19,auto_mapped,parent_contained_by_legacy,0.957802,0.943182,
QA_0061,CHUNK_0030,Article 19(1),EU_376_2014_ART_19,Article 19,auto_mapped,parent_contained_by_legacy,0.957802,0.943182,
QA_0062,CHUNK_0031,Article 20(1),EU_376_2014_ART_20,Article 20,auto_mapped,parent_contained_by_legacy,0.94323,0.926471,
QA_0063,CHUNK_0031,Article 20(1),EU_376_2014_ART_20,Article 20,auto_mapped,parent_contained_by_legacy,0.94323,0.926471,
QA_0064,CHUNK_0031,Article 20(2),EU_376_2014_ART_20,Article 20,auto_mapped,parent_contained_by_legacy,0.94323,0.926471,
QA_0065,CHUNK_0032,Article 21,EU_376_2014_ART_21,Article 21,auto_mapped,parent_contained_by_legacy,0.911185,0.888889,
QA_0066,CHUNK_0032,Article 21,EU_376_2014_ART_21,Article 21,auto_mapped,parent_contained_by_legacy,0.911185,0.888889,
QA_0067,CHUNK_0032,Article 21,EU_376_2014_ART_21,Article 21,auto_mapped,parent_contained_by_legacy,0.911185,0.888889,
QA_0068,CHUNK_0035,Article 24(1),EU_376_2014_ART_24,Article 24,auto_mapped,parent_contained_by_legacy,0.980741,0.973684,
QA_0069,CHUNK_0035,Article 24(2),EU_376_2014_ART_24,Article 24,auto_mapped,parent_contained_by_legacy,0.980741,0.973684,
QA_0070,CHUNK_0035,Article 24(3),EU_376_2014_ART_24,Article 24,auto_mapped,parent_contained_by_legacy,0.980741,0.973684,
QA_0071,CHUNK_0036,Section 1,EU_376_2014_ANNEX_I,Annex I,auto_mapped,parent_contained_by_legacy,0.993609,0.991087,
QA_0072,CHUNK_0036,Note,EU_376_2014_ANNEX_I,Annex I,auto_mapped,parent_contained_by_legacy,0.993609,0.991087,
QA_0073,CHUNK_0037,ANNEX II (a),EU_376_2014_ANNEX_II,Annex II,auto_mapped,parent_contained_by_legacy,0.988702,0.984424,
QA_0074,CHUNK_0037,ANNEX II (b),EU_376_2014_ANNEX_II,Annex II,auto_mapped,parent_contained_by_legacy,0.988702,0.984424,
QA_0075,CHUNK_0038,"ANNEX III, point 7",EU_376_2014_ANNEX_III,Annex III,auto_mapped,parent_contained_by_legacy,0.986784,0.981818,
QA_0076,CHUNK_0038,"ANNEX III, point 7",EU_376_2014_ANNEX_III,Annex III,auto_mapped,parent_contained_by_legacy,0.986784,0.981818,
QA_0077,CHUNK_0042,Article 2,EU_2015_1018_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.950412,0.936508,
QA_0078,CHUNK_0042,Article 2,EU_2015_1018_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.950412,0.936508,
QA_0079,CHUNK_0042,Article 2,EU_2015_1018_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.950412,0.936508,
QA_0080,CHUNK_0043,"ANNEX I, Remark",EU_2015_1018_ANNEX_I,Annex I,auto_mapped,parent_contained_by_legacy,0.997688,0.99674,
QA_0081,CHUNK_0043,"ANNEX I, 1.3",EU_2015_1018_ANNEX_I,Annex I,auto_mapped,parent_contained_by_legacy,0.997688,0.99674,
QA_0082,CHUNK_0044,"Regulation (EU) 2015/1018, Annex II, Section 3(1)",EU_2015_1018_ANNEX_II,Annex II,auto_mapped,parent_contained_by_legacy,0.994556,0.992424,
QA_0083,CHUNK_0044,"Regulation (EU) 2015/1018, Annex II, Section 3(14)",EU_2015_1018_ANNEX_II,Annex II,auto_mapped,parent_contained_by_legacy,0.994556,0.992424,
QA_0084,CHUNK_0045,ANNEX III,EU_2015_1018_ANNEX_III,Annex III,auto_mapped,parent_contained_by_legacy,0.99442,0.992322,
QA_0085,CHUNK_0045,ANNEX III,EU_2015_1018_ANNEX_III,Annex III,auto_mapped,parent_contained_by_legacy,0.99442,0.992322,
QA_0086,CHUNK_0046,"ANNEX IV, Section 1.1",EU_2015_1018_ANNEX_IV,Annex IV,auto_mapped,parent_contained_by_legacy,0.997281,0.996169,
QA_0087,CHUNK_0046,"ANNEX IV, Section 1.2(3)",EU_2015_1018_ANNEX_IV,Annex IV,auto_mapped,parent_contained_by_legacy,0.997281,0.996169,
QA_0088,CHUNK_0047,"ANNEX V, Regulation (EU) 2015/1018, (a)",EU_2015_1018_ANNEX_V,Annex V,auto_mapped,parent_contained_by_legacy,0.998056,0.997255,
QA_0089,CHUNK_0047,"ANNEX V, Regulation (EU) 2015/1018, 1",EU_2015_1018_ANNEX_V,Annex V,auto_mapped,parent_contained_by_legacy,0.998056,0.997255,
QA_0090,CHUNK_0050,Article 2(1),EU_2020_2034_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.984638,0.979058,
QA_0091,CHUNK_0050,Article 2(4),EU_2020_2034_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.984638,0.979058,
QA_0092,CHUNK_0050,Article 2(6),EU_2020_2034_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.984638,0.979058,
QA_0093,CHUNK_0051,Article 3(2),EU_2020_2034_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.975727,0.966942,
QA_0094,CHUNK_0051,Article 3(3),EU_2020_2034_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.975727,0.966942,
QA_0095,CHUNK_0051,Article 3(2),EU_2020_2034_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.975727,0.966942,
QA_0096,CHUNK_0052,Article 4,EU_2020_2034_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.838148,0.796875,
QA_0097,CHUNK_0052,Article 4,EU_2020_2034_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.838148,0.796875,
QA_0098,CHUNK_0052,Article 4,EU_2020_2034_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.838148,0.796875,
QA_0099,CHUNK_0057,Article 2,EU_2021_2082_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.985079,0.979487,
QA_0100,CHUNK_0057,Article 2,EU_2021_2082_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.985079,0.979487,
QA_0101,CHUNK_0057,Article 2,EU_2021_2082_ART_2,Article 2,auto_mapped,parent_contained_by_legacy,0.985079,0.979487,
QA_0102,CHUNK_0058,Article 3(1),EU_2021_2082_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.979308,0.971831,
QA_0103,CHUNK_0058,Article 3(2),EU_2021_2082_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.979308,0.971831,
QA_0104,CHUNK_0058,Article 3(2),EU_2021_2082_ART_3,Article 3,auto_mapped,parent_contained_by_legacy,0.979308,0.971831,
QA_0105,CHUNK_0059,Article 4(1),EU_2021_2082_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.972536,0.962963,
QA_0106,CHUNK_0059,Article 4(2),EU_2021_2082_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.972536,0.962963,
QA_0107,CHUNK_0059,Article 4(2),EU_2021_2082_ART_4,Article 4,auto_mapped,parent_contained_by_legacy,0.972536,0.962963,
QA_0108,CHUNK_0060,Article 5(1),EU_2021_2082_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.966163,0.954545,
QA_0109,CHUNK_0060,Article 5(1),EU_2021_2082_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.966163,0.954545,
QA_0110,CHUNK_0060,Article 5(2),EU_2021_2082_ART_5,Article 5,auto_mapped,parent_contained_by_legacy,0.966163,0.954545,
QA_0111,CHUNK_0064,Recital 5,GM_EU_376_2014_SEC_1_1,GM 1.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0112,CHUNK_0064,Recital 5,GM_EU_376_2014_SEC_1_1,GM 1.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0113,CHUNK_0065,Article 7(8),GM_EU_376_2014_SEC_1_2,GM 1.2,auto_mapped,normalized_equal,1.0,1.0,
QA_0114,CHUNK_0065,Paragraph 3,GM_EU_376_2014_SEC_1_2,GM 1.2,auto_mapped,normalized_equal,1.0,1.0,
QA_0115,CHUNK_0066,GM to Reg. (EU) No 376/2014 [04],GM_EU_376_2014_SEC_1_3,GM 1.3,auto_mapped,normalized_equal,1.0,1.0,
QA_0116,CHUNK_0066,GM to Reg. (EU) No 376/2014 [04],GM_EU_376_2014_SEC_1_3,GM 1.3,auto_mapped,normalized_equal,1.0,1.0,
QA_0117,CHUNK_0067,Article 288 of the Treaty on the Functioning of the European Union (TFEU),GM_EU_376_2014_SEC_1_4,GM 1.4,auto_mapped,normalized_equal,1.0,1.0,
QA_0118,CHUNK_0067,GM to Reg. (EU) No 376/2014 and its IRs [05],GM_EU_376_2014_SEC_1_4,GM 1.4,auto_mapped,normalized_equal,1.0,1.0,
QA_0119,CHUNK_0068,GM to Reg. (EU) No 376/2014 and its IRs [06],GM_EU_376_2014_SEC_1_5,GM 1.5,auto_mapped,legacy_contained_by_parent,0.949439,1.0,
QA_0120,CHUNK_0068,GM to Reg. (EU) No 376/2014 and its IRs [06],GM_EU_376_2014_SEC_1_5,GM 1.5,auto_mapped,legacy_contained_by_parent,0.949439,1.0,
QA_0121,CHUNK_0069,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_1_6,GM 1.6,auto_mapped,legacy_contained_by_parent,0.911221,1.0,
QA_0122,CHUNK_0069,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_1_6,GM 1.6,auto_mapped,legacy_contained_by_parent,0.911221,1.0,
QA_0123,CHUNK_0070,Article 3(2),GM_EU_376_2014_SEC_1_6,GM 1.6,auto_mapped,legacy_contained_by_parent,0.92531,1.0,
QA_0124,CHUNK_0070,Article 3(2),GM_EU_376_2014_SEC_1_6,GM 1.6,auto_mapped,legacy_contained_by_parent,0.92531,1.0,
QA_0125,CHUNK_0070,Article 3(2),GM_EU_376_2014_SEC_1_6,GM 1.6,auto_mapped,legacy_contained_by_parent,0.92531,1.0,
QA_0126,CHUNK_0071,Article 3(2),GM_EU_376_2014_SEC_1_7,GM 1.7,auto_mapped,normalized_equal,1.0,1.0,
QA_0127,CHUNK_0071,Article 3(2),GM_EU_376_2014_SEC_1_7,GM 1.7,auto_mapped,normalized_equal,1.0,1.0,
QA_0128,CHUNK_0072,Article 3(1),GM_EU_376_2014_SEC_1_8,GM 1.8,auto_mapped,normalized_equal,1.0,1.0,
QA_0129,CHUNK_0072,Article 3(1),GM_EU_376_2014_SEC_1_8,GM 1.8,auto_mapped,normalized_equal,1.0,1.0,
QA_0130,CHUNK_0073,"GM to Reg. (EU) No 376/2014, Section 1.1",GM_EU_376_2014_SEC_2_1,GM 2.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0131,CHUNK_0073,"GM to Reg. (EU) No 376/2014, Section 1.1",GM_EU_376_2014_SEC_2_1,GM 2.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0132,CHUNK_0074,Article 4(6),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.940419,1.0,
QA_0133,CHUNK_0074,Article 21; Recital 38,GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.940419,1.0,
QA_0134,CHUNK_0075,Article 4(6)(a),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.921363,1.0,
QA_0135,CHUNK_0075,Article 4(6),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.921363,1.0,
QA_0136,CHUNK_0075,Article 4(6),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.921363,1.0,
QA_0137,CHUNK_0076,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.912663,1.0,
QA_0138,CHUNK_0076,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.912663,1.0,
QA_0139,CHUNK_0076,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.912663,1.0,
QA_0140,CHUNK_0077,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.880432,1.0,
QA_0141,CHUNK_0077,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.880432,1.0,
QA_0142,CHUNK_0077,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.880432,1.0,
QA_0143,CHUNK_0078,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.938502,1.0,
QA_0144,CHUNK_0078,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.938502,1.0,
QA_0145,CHUNK_0078,Article 4(6)(b),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.938502,1.0,
QA_0146,CHUNK_0080,Article 4(6)(d),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.885159,1.0,
QA_0147,CHUNK_0080,Article 4(6)(d),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.885159,1.0,
QA_0148,CHUNK_0080,Article 4(6)(d),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.885159,1.0,
QA_0149,CHUNK_0081,Article 4(6)(e),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.871604,1.0,
QA_0150,CHUNK_0081,Article 4(6)(e),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.871604,1.0,
QA_0151,CHUNK_0081,Article 4(6)(e),GM_EU_376_2014_SEC_2_2,GM 2.2,auto_mapped,legacy_contained_by_parent,0.871604,1.0,
QA_0152,CHUNK_0082,Article 4(1),GM_EU_376_2014_SEC_2_3,GM 2.3,accepted_manual,qa_override,0.997206,1.0,Legacy text differs only in formatting from the complete guidance parent.
QA_0153,CHUNK_0082,Article 4(6),GM_EU_376_2014_SEC_2_3,GM 2.3,accepted_manual,qa_override,0.997206,1.0,Legacy text differs only in formatting from the complete guidance parent.
QA_0154,CHUNK_0083,"GM to Reg. (EU) No 376/2014, paragraph 2",GM_EU_376_2014_SEC_2_4,GM 2.4,auto_mapped,normalized_equal,1.0,1.0,
QA_0155,CHUNK_0083,"GM to Reg. (EU) No 376/2014, paragraph 1",GM_EU_376_2014_SEC_2_4,GM 2.4,auto_mapped,normalized_equal,1.0,1.0,
QA_0156,CHUNK_0084,Recital 18,GM_EU_376_2014_SEC_2_5,GM 2.5,auto_mapped,normalized_equal,1.0,1.0,
QA_0157,CHUNK_0084,Recital 18,GM_EU_376_2014_SEC_2_5,GM 2.5,auto_mapped,normalized_equal,1.0,1.0,
QA_0158,CHUNK_0085,"Article 4(6), Article 9",GM_EU_376_2014_SEC_2_6,GM 2.6,auto_mapped,normalized_equal,1.0,1.0,
QA_0159,CHUNK_0085,Recital 3,GM_EU_376_2014_SEC_2_6,GM 2.6,auto_mapped,normalized_equal,1.0,1.0,
QA_0160,CHUNK_0086,"GM to Reg. (EU) No 376/2014, Key principle",GM_EU_376_2014_SEC_2_7,GM 2.7,auto_mapped,normalized_equal,1.0,1.0,
QA_0161,CHUNK_0086,"GM to Reg. (EU) No 376/2014, Key principle",GM_EU_376_2014_SEC_2_7,GM 2.7,auto_mapped,normalized_equal,1.0,1.0,
QA_0162,CHUNK_0087,Article 4(6),GM_EU_376_2014_SEC_2_8,GM 2.8,auto_mapped,normalized_equal,1.0,1.0,
QA_0163,CHUNK_0087,Article 4(6),GM_EU_376_2014_SEC_2_8,GM 2.8,auto_mapped,normalized_equal,1.0,1.0,
QA_0164,CHUNK_0088,Article 4(7),GM_EU_376_2014_SEC_2_9,GM 2.9,auto_mapped,normalized_equal,1.0,1.0,
QA_0165,CHUNK_0088,Article 4(7),GM_EU_376_2014_SEC_2_9,GM 2.9,auto_mapped,normalized_equal,1.0,1.0,
QA_0166,CHUNK_0089,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_2_10,GM 2.10,auto_mapped,normalized_equal,1.0,1.0,
QA_0167,CHUNK_0089,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_2_10,GM 2.10,auto_mapped,normalized_equal,1.0,1.0,
QA_0168,CHUNK_0090,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_2_11,GM 2.11,auto_mapped,normalized_equal,1.0,1.0,
QA_0169,CHUNK_0090,GM to Reg. (EU) No 376/2014,GM_EU_376_2014_SEC_2_11,GM 2.11,auto_mapped,normalized_equal,1.0,1.0,
QA_0170,CHUNK_0091,Article 15(1),GM_EU_376_2014_SEC_2_12,GM 2.12,auto_mapped,normalized_equal,1.0,1.0,
QA_0171,CHUNK_0091,"Article 16(1), (2) and (3)",GM_EU_376_2014_SEC_2_12,GM 2.12,auto_mapped,normalized_equal,1.0,1.0,
QA_0172,CHUNK_0092,Article 16,GM_EU_376_2014_SEC_2_13,GM 2.13,auto_mapped,normalized_equal,1.0,1.0,
QA_0173,CHUNK_0092,Article 2,GM_EU_376_2014_SEC_2_13,GM 2.13,auto_mapped,normalized_equal,1.0,1.0,
QA_0174,CHUNK_0093,Article 16(12),GM_EU_376_2014_SEC_2_14,GM 2.14,auto_mapped,normalized_equal,1.0,1.0,
QA_0175,CHUNK_0093,Article 16(12),GM_EU_376_2014_SEC_2_14,GM 2.14,auto_mapped,normalized_equal,1.0,1.0,
QA_0176,CHUNK_0094,"GM to Reg. (EU) No 376/2014, Section 1.1",GM_EU_376_2014_SEC_3_1,GM 3.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0177,CHUNK_0094,"GM to Reg. (EU) No 376/2014, Section 2.1",GM_EU_376_2014_SEC_3_1,GM 3.1,auto_mapped,normalized_equal,1.0,1.0,
QA_0178,CHUNK_0095,"GM to Reg. (EU) No 376/2014, Section i",GM_EU_376_2014_SEC_3_2,GM 3.2,auto_mapped,normalized_equal,1.0,1.0,
QA_0179,CHUNK_0095,"GM to Reg. (EU) No 376/2014, Section ii",GM_EU_376_2014_SEC_3_2,GM 3.2,auto_mapped,normalized_equal,1.0,1.0,
QA_0180,CHUNK_0096,Article 2(8),GM_EU_376_2014_SEC_3_3,GM 3.3,auto_mapped,normalized_equal,1.0,1.0,
QA_0181,CHUNK_0096,Key principle,GM_EU_376_2014_SEC_3_3,GM 3.3,auto_mapped,normalized_equal,1.0,1.0,
