qa_id,source_class,review_reason,n_reviewers,reviewers,votes_accept,votes_correct,votes_exclude,agg_question_clear_and_unambiguous,agg_answer_fully_supported,agg_citation_correct,agg_gold_evidence_complete,panel_verdict,contested,auto_decision,action_needed,comments
QA_0272,ARTICLE,exception_record,3,R1; R3; R4,1,2,0,yes,yes,yes,yes,correct,yes,,reviewers disagree,R3: Pas sûr de la clarté de la question || R4: Revoir la question
QA_0277,ARTICLE,exception_record,3,R1; R3; R4,3,0,0,yes,yes,yes,yes,accept,no,accept,,
QA_0278,ARTICLE,exception_record,3,R1; R3; R4,2,1,0,yes,yes,yes,yes,accept,no,accept,,R4: question à clarifier. dans la réponse bien séparer organisation d'un côté et member state de l'autre
QA_0279,ARTICLE,exception_record,3,R1; R3; R4,1,2,0,uncertain,yes,yes,yes,correct,yes,,reviewers disagree,"R3: Trop flou en général || R4: il manque dans la question et la réponse ""article 16"" à associer à paragraphe 10."
QA_0287,ARTICLE,exception_record,3,R1; R3; R4,1,1,1,yes,yes,yes,yes,exclude,yes,,reviewers disagree,R1: l'Article 5(1)-(2) parle de CR volontaires || R4: la question n'est pas claire
QA_0289,GM,stratified_unchanged_GM_development,2,R3; R4,2,0,0,yes,yes,yes,yes,accept,yes,,reviewers disagree,
QA_0290,GM,exception_record,2,R3; R4,2,0,0,yes,yes,yes,yes,accept,no,accept,,
QA_0292,GM,exception_record,2,R1; R4,1,1,0,yes,yes,yes,yes,accept,yes,,reviewers disagree,"R4: ne pas faire commencer la réponse par ""the guidance..."""
QA_0293,GM,exception_record,1,R4,1,0,0,yes,yes,yes,yes,accept,no,,"only 1 reviewer(s), need 2",
QA_0294,GM,exception_record,1,R4,0,1,0,uncertain,yes,yes,yes,correct,no,,"only 1 reviewer(s), need 2",R4: reformuler question (le terme criteria est ambigu)
