qa_id,review_reason,split,source_class,audit_decision,question_type,difficulty,question,reference_answer,acceptable_citation,parent_id,gold_child_ids,gold_evidence_text,ai_audit_notes,reviewer_decision,question_clear_and_unambiguous,answer_fully_supported,citation_correct,gold_evidence_complete,alternative_acceptable_child_ids,alternative_evidence_sets_json,corrected_question,corrected_reference_answer,corrected_citation,corrected_parent_id,corrected_gold_child_ids,corrected_evidence_sets_json,review_notes,reviewer_name_or_role,review_date
QA_0183,exception_record,test,GM,ai_rewritten_supported,timeline,medium,When does the reporting period start for design or production organisations?,"For design or production organisations, the reporting period starts when the process of identifying an unsafe or potentially unsafe condition concludes. The 72-hour reporting period is counted from that point.",GM 3.4,GM_EU_376_2014_SEC_3_4,GM_EU_376_2014_SEC_3_4__C0005;GM_EU_376_2014_SEC_3_4__C0006,"GM_EU_376_2014_SEC_3_4__C0005 [GM 3.4]: This reporting flow starts from the moment the occurrence is detected (T0). From this moment, the individual shall report it to the organisation or to the authority as soon as possible, but before 72 hours if it falls within the mandatory scheme. In this case, the organisation has 72 hours to report to the authority from the moment they become aware of the occurrence.
GM_EU_376_2014_SEC_3_4__C0006 [GM 3.4]: It should be understood that in certain specific situations the identification of the occurrence might require an additional stage before this reporting flow starts. In particular, for Design or Production Organisations the time start (T0) is the moment where the individuals carrying out this process in the organisation identify the unsafe or the potential unsafe condition. Therefore, these organisations will have 72 hours to report to the competent authority when this process concludes that an occurrence represents an unsafe or potential unsafe condition as per Annex Part 21 of Regulation 748/2012.",The original citation incorrectly pointed to Section 2.2.,,,,,,,,,,,,,,,,
QA_0193,exception_record,test,GM,ai_rewritten_supported,obligation,medium,What should organisations aim to provide in their initial occurrence report?,"They should make the initial report as complete as possible, especially its safety assessment, because not every report will receive a follow-up report.",GM 3.9,GM_EU_376_2014_SEC_3_9,GM_EU_376_2014_SEC_3_9__C0006,"GM_EU_376_2014_SEC_3_9__C0006 [GM 3.9]: It is recognised that some of the requested information might necessitate detailed assessment or analysis (e.g. risk classification) and might only be available after the occurrence has been analysed. It is also recognised that the period required for the notification of the occurrence might not allow the organisation to provide complete information within its initial notification. However, organisations should aim to provide the initial report as complete as possible, notably in regards to the safety assessment, as not all reports may be subject to follow-up report.",The original citation incorrectly pointed to Section 3.10.,,,,,,,,,,,,,,,,
QA_0213,exception_record,test,GM,ai_rewritten_supported,obligation,medium,How should a competent authority handle occurrences reported by organisations and individuals?,"It should handle occurrences reported under Regulation 376/2014 in the same manner whether they are mandatory or voluntary, including occurrences reported directly by individuals.",GM 4.2,GM_EU_376_2014_SEC_4_2,GM_EU_376_2014_SEC_4_2__C0003;GM_EU_376_2014_SEC_4_2__C0004,"GM_EU_376_2014_SEC_4_2__C0003 [GM 4.2]: Key principle All occurrences reported by an organisation to its competent authority in application of Regulation 376/2014 and its implementing rules shall be handled and addressed in the same manner by this competent authority. All occurrences directly by an individual reporter to a competent authority, whether or not it is reported on the basis of Regulation 2015/1018, shall be handled and addressed in the same manner by that competent authority In general, Regulation 376/2014 does not differentiate the way mandatorily reportable and voluntarily reportable occurrences shall be addressed by the competent authority. It does, however, impose differentiated requirements to the competent authority for handling, from one side, occurrences transferred by an organisation and, from the other side, occurrences directly reported by an individual.
GM_EU_376_2014_SEC_4_2__C0004 [GM 4.2]: All information collected from organisations, whether it was reported in application of Article 4 or of Article 5, is subject to similar handling by the competent authority. And all information directly reported by individuals to the competent authority, whether it was reported in application of Article 4 or of Article 5, is subject to the same analysis and follow-up obligations.",The original citation incorrectly pointed to Section 3.7.,,,,,,,,,,,,,,,,
QA_0229,stratified_unchanged_GM_test,test,GM,ai_provisional_supported,obligation,medium,What principle is established in Article 16(11) regarding internal rules?,Article 16(11) sets the obligation for organisations to adopt internal rules describing how ‘Just Culture’ principles are guaranteed and implemented within that organisation after consulting its staff representatives.,Article 16(11),GM_EU_376_2014_SEC_4_9,GM_EU_376_2014_SEC_4_9__C0002,"GM_EU_376_2014_SEC_4_9__C0002 [GM 4.9]: Article 16(6) states the principle of proceedings limitations; Article 16(9) establishes the principle of non-prejudice in a corporate context, both principles being subject to the two exceptions mentioned in Article 16(10). Article 16(11) sets the obligation for organisations to adopt, after consulting its staff representatives, internal rules describing how ‘Just Culture’ principles are guaranteed and implemented within that organisation.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0235,stratified_unchanged_GM_development,development,GM,ai_provisional_supported,responsibility,medium,What is the role of the Commission regarding the classification of occurrences?,"The Commission was required to adopt a list classifying occurrences to be referred to, which is outlined in Article 4(5). This list helps identify occurrences that are mandatory to report due to their significant risk to aviation safety.",Article 4(5),GM_EU_376_2014_SEC_5_3,GM_EU_376_2014_SEC_5_3__C0003,"GM_EU_376_2014_SEC_5_3__C0003 [GM 5.3]: The occurrences to be reported in the context of mandatory reporting systems are those which may represent a significant risk to aviation safety and which fall into defined categories (Article 4(1)). To facilitate the identification of those occurrences, the Commission was required to adopt a list classifying occurrences to be referred to (Article 4(5)).",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
QA_0248,exception_record,development,ARTICLE,ai_rewritten_supported,exception,hard,Who must report when the pilot in command is unable to report an occurrence?,"When the pilot in command is unable to report, another crew member next in the chain of command must report the occurrence, subject to the aircraft and operator scope stated in Article 4(6)(a).",Article 4(6)(a),EU_376_2014_ART_4,EU_376_2014_ART_4__C0030,"EU_376_2014_ART_4__C0030 [Article 4(6)(a)]: (a)the pilot in command, or, in cases where the pilot in command is unable to report the occurrence, any other crew member next in the chain of command of an aircraft registered in a Member State or an aircraft registered outside the Union but used by an operator for which a Member State ensures oversight of operations or an operator established in the Union;",The original negative question implied an exemption rather than a transfer to the next crew member.,,,,,,,,,,,,,,,,
QA_0258,exception_record,development,ARTICLE,ai_rewritten_supported,scope,hard,What information must competent authorities store in the national database?,They must store occurrence reports drawn up from details collected under Articles 4 and 5. Relevant information on accidents and serious incidents collected or issued by safety investigation authorities must also be stored there.,Article 6(6)-(7),EU_376_2014_ART_6,EU_376_2014_ART_6__C0014;EU_376_2014_ART_6__C0015,"EU_376_2014_ART_6__C0014 [Article 6(6)]: 6.The competent authorities referred to in paragraph 3 shall store occurrence reports drawn up on the basis of details of occurrences collected in accordance with Articles 4 and 5 in a national database.
EU_376_2014_ART_6__C0015 [Article 6(7)]: 7.Relevant information on accidents and serious incidents collected or issued by safety investigation authorities shall also be stored in the national database.",The original answer invented consequences of non-storage that are not stated in the cited clauses.,,,,,,,,,,,,,,,,
QA_0263,exception_record,test,ARTICLE,ai_rewritten_supported,cross_reference,hard,What database-format requirements and support responsibilities are specified in Article 7(4) and Article 7(8)?,The relevant databases must use formats that are standardised for information exchange and compatible with ECCAIRS and the ADREP taxonomy. The Commission and the Agency must support Member-State competent authorities with data integration and provide that support in a way that contributes to harmonised data entry.,Article 7(4) and 7(8),EU_376_2014_ART_7,EU_376_2014_ART_7__C0004;EU_376_2014_ART_7__C0005;EU_376_2014_ART_7__C0006;EU_376_2014_ART_7__C0011;EU_376_2014_ART_7__C0015,"EU_376_2014_ART_7__C0004 [Article 7(4)]: 4.The databases referred to in paragraphs 5, 6 and 8 of Article 6 shall use formats which are:
EU_376_2014_ART_7__C0005 [Article 7(4)(a)]: (a)standardised to facilitate information exchange; and
EU_376_2014_ART_7__C0006 [Article 7(4)(b)]: (b)compatible with the ECCAIRS software and the ADREP taxonomy.
EU_376_2014_ART_7__C0011 [Article 7(8)]: 8.The Commission and the Agency shall support the competent authorities of the Member States in their task of data integration, including for example in:
EU_376_2014_ART_7__C0015 [Article 7(8)(c)]: The Commission and the Agency shall provide that support in such a way as to contribute to the harmonisation of the data entry process across Member States, in particular by providing to staff working in the bodies or entities referred to in Article 6(1), (3) and (4):",The original answer asserted a direct dependency and failure consequence not stated in the provisions.,,,,,,,,,,,,,,,,
QA_0265,exception_record,development,ARTICLE,ai_rewritten_supported,obligation,hard,What must an organisation do after its analysis identifies appropriate corrective or preventive action for a safety deficiency?,It must implement the action in a timely manner and establish a process to monitor its implementation and effectiveness.,Article 13(2),EU_376_2014_ART_13,EU_376_2014_ART_13__C0003;EU_376_2014_ART_13__C0004;EU_376_2014_ART_13__C0005,"EU_376_2014_ART_13__C0003 [Article 13(2)]: 2.When, following the analysis referred to in paragraph 1, an organisation established in a Member State identifies any appropriate corrective or preventive action required to address actual or potential aviation safety deficiencies, it shall:
EU_376_2014_ART_13__C0004 [Article 13(2)(a)]: (a)implement that action in a timely manner; and
EU_376_2014_ART_13__C0005 [Article 13(2)(b)]: (b)establish a process to monitor the implementation and effectiveness of the action.",The original final sentence claimed that failure to analyse negates the obligation; that consequence is not stated.,,,,,,,,,,,,,,,,
QA_0272,exception_record,development,ARTICLE,ai_rewritten_supported,exception,hard,For what purposes may information derived from occurrence reports be used under Article 15(2)?,"It may be used only for the purpose for which it was collected. Member States, the Agency and organisations must not use or make occurrence information available to attribute blame or liability, or for a purpose other than maintaining or improving aviation safety.",Article 15(2),EU_376_2014_ART_15,EU_376_2014_ART_15__C0003;EU_376_2014_ART_15__C0004;EU_376_2014_ART_15__C0005;EU_376_2014_ART_15__C0006,"EU_376_2014_ART_15__C0003 [Article 15(2)]: 2.Without prejudice to the provisions relating to the protection of safety information in Articles 12, 14 and 15 of Regulation (EU) No 996/2010, information derived from occurrence reports shall be used only for the purpose for which it has been collected.
EU_376_2014_ART_15__C0004 [Article 15(2)]: Member States, the Agency and organisations shall not make available or use the information on occurrences:
EU_376_2014_ART_15__C0005 [Article 15(2)(a)]: (a)in order to attribute blame or liability; or
EU_376_2014_ART_15__C0006 [Article 15(2)(b)]: (b)for any purpose other than the maintenance or improvement of aviation safety.",The original answer invented a general national-law exception.,,,,,,,,,,,,,,,,
QA_0277,exception_record,development,ARTICLE,ai_rewritten_supported,obligation,hard,What must Member States do regarding personal details and disidentified information in national occurrence databases?,"Member States must ensure that personal details are never recorded in the national database referred to in Article 6(6), and must make the disidentified information available to relevant parties so they can discharge aviation-safety improvement obligations.",Article 16(3),EU_376_2014_ART_16,EU_376_2014_ART_16__C0004,"EU_376_2014_ART_16__C0004 [Article 16(3)]: 3.Each Member State shall ensure that no personal details are ever recorded in the national database referred to in Article 6(6). Such disidentified information shall be made available to all relevant parties, for example to allow them to discharge their obligations in relation to aviation safety improvement.","The original citation incorrectly added Article 16(6), which concerns proceedings.",,,,,,,,,,,,,,,,
QA_0278,exception_record,development,ARTICLE,ai_rewritten_supported,cross_reference,hard,What duties do organisations and the designated Member-State body have in implementing just-culture protections?,"After consulting staff representatives, each organisation must adopt internal rules describing how just-culture principles, particularly paragraph 9, are guaranteed and implemented. The body designated by the Member State is responsible for implementing paragraphs 6, 9 and 11 and may ask to review those internal rules before implementation.",Article 16(11)-(12),EU_376_2014_ART_16,EU_376_2014_ART_16__C0019;EU_376_2014_ART_16__C0020;EU_376_2014_ART_16__C0021,"EU_376_2014_ART_16__C0019 [Article 16(11)]: 11.Each organisation established in a Member State shall, after consulting its staff representatives, adopt internal rules describing how ‘just culture’ principles, in particular the principle referred to in paragraph 9, are guaranteed and implemented within that organisation.
EU_376_2014_ART_16__C0020 [Article 16(11)]: The body designated pursuant to paragraph 12 may ask to review the internal rules of the organisations established in its Member State before those internal rules are implemented.
EU_376_2014_ART_16__C0021 [Article 16(12)]: 12.Each Member State shall designate a body responsible for the implementation of paragraphs 6, 9 and 11.",The original answer described review as mandatory rather than something the designated body may request.,,,,,,,,,,,,,,,,
QA_0279,exception_record,development,ARTICLE,ai_rewritten_supported,scope,hard,"When must Member States refrain from proceedings for reported infringements, and when do the paragraph 10 exceptions apply?","Subject to national criminal law, Member States must refrain from proceedings for unpremeditated or inadvertent infringements known only because they were reported under Articles 4 and 5. The protection need not apply in cases of wilful misconduct or manifest, severe and serious disregard of an obvious risk accompanied by a profound failure of professional responsibility as described in paragraph 10.",Article 16(6) and 16(10),EU_376_2014_ART_16,EU_376_2014_ART_16__C0007;EU_376_2014_ART_16__C0008;EU_376_2014_ART_16__C0016;EU_376_2014_ART_16__C0017;EU_376_2014_ART_16__C0018,"EU_376_2014_ART_16__C0007 [Article 16(6)]: 6.Without prejudice to applicable national criminal law, Member States shall refrain from instituting proceedings in respect of unpremeditated or inadvertent infringements of the law which come to their attention only because they have been reported pursuant to Articles 4 and 5.
EU_376_2014_ART_16__C0008 [Article 16(6)]: The first subparagraph shall not apply in the cases referred to in paragraph 10. Member States may retain or adopt measures to strengthen the protection of reporters or persons mentioned in occurrence reports. Member States may in particular apply this rule without the exceptions referred to in paragraph 10.
EU_376_2014_ART_16__C0016 [Article 16(10)]: 10.The protection under paragraphs 6, 7 and 9 of this Article shall not apply to any of the following situations:
EU_376_2014_ART_16__C0017 [Article 16(10)(a)]: (a)in cases of wilful misconduct;
EU_376_2014_ART_16__C0018 [Article 16(10)(b)]: (b)where there has been a manifest, severe and serious disregard of an obvious risk and profound failure of professional responsibility to take such care as is evidently required in the circumstances, causing foreseeable damage to a person or property, or which seriously compromises the level of aviation safety.",The rewrite uses the regulation's actual exception wording rather than the looser term gross negligence.,,,,,,,,,,,,,,,,
QA_0287,exception_record,test,ARTICLE,ai_rewritten_supported,obligation,hard,How do the Agency's review duty and Member States' notification duty apply to ERCS conversion procedures?,"The Agency must regularly review the Annex conversion procedures to ensure their continuing relevance. When applicable, Member States must notify the Commission and the Agency when they use the manual procedure in point 2 of the Annex or other procedures referred to in Article 3(2).",Article 5(1)-(2),EU_2021_2082_ART_5,EU_2021_2082_ART_5__C0001;EU_2021_2082_ART_5__C0002,"EU_2021_2082_ART_5__C0001 [Article 5(1)]: 1.The conversion procedures set out in the Annex shall be subject to regular review by the Agency to ensure its continuing relevance. The review may take account of the expertise of the NoA and relevant expert groups if established by the Agency.
EU_2021_2082_ART_5__C0002 [Article 5(2)]: 2.When applicable, Member States shall notify to the Commission and the Agency the use of the manual conversion procedure set out in point 2 of the Annex and other conversion procedures referred to in Article 3(2) of this Regulation.",The original answer speculated that an Agency review could release Member States from notification.,,,,,,,,,,,,,,,,
QA_0289,stratified_unchanged_GM_development,development,GM,ai_provisional_supported,scope,hard,"What are the implications for reporting an occurrence if there is only one pilot on board an aircraft, and how does this relate to the definitions of crew members in Article 4(6)(a)?","If there is only one pilot on board, the provision stipulates that the cabin manager becomes the next crew member in the chain of command for reporting purposes. This means that the cabin manager is responsible for reporting if the pilot is unable to do so. The implication is that the reporting hierarchy changes based on the crew configuration, which must be clearly defined within the organization's safety management system.",Article 4(6)(a),GM_EU_376_2014_SEC_2_2,GM_EU_376_2014_SEC_2_2__C0015;GM_EU_376_2014_SEC_2_2__C0013,"GM_EU_376_2014_SEC_2_2__C0015 [GM 2.2]: Example: Any other crew member next in the chain of command in the context of a CAT operation on-board of a large aeroplane would be the co-pilot whereas in the case where there is only one pilot on board it would be the cabin manager.
GM_EU_376_2014_SEC_2_2__C0013 [GM 2.2]: In addition, Article 4(6) (a) refers to ‘‘the pilot in command, or, in cases where the pilot in command is unable to report the occurrence, any other crew member next in the chain of command of an aircraft’’. Situations where the pilot would be unable to report is understood as referring to cases where the pilot would be unable to report because he would not be physically able to do so.",AI-assisted evidence proposal; independent human review pending.,,,,,,,,,,,,,,,,
