qa_id,question,reference_answer,gold_citation,parent_id,parent_mapping_status,review_priority,top_score,score_margin,candidate_child_ids,candidate_citations,candidate_scores,top_evidence_preview,review_decision,gold_child_ids,answer_support,review_notes
QA_0010,Who is considered an 'interested party' under this regulation?,"'interested party' means any natural or legal person or any official body, whether or not having its own legal personality, that is in a position to participate in the improvement of aviation safety by having access to information on occurrences exchanged by the Member States.",Article 2(14),EU_376_2014_ART_2,auto_mapped,low,0.895162,0.698605,EU_376_2014_ART_2__C0017;EU_376_2014_ART_2__C0008;EU_376_2014_ART_2__C0002;EU_376_2014_ART_2__C0018;EU_376_2014_ART_2__C0015,Article 2(14);Article 2(7);Article 2(1);Article 2(15);Article 2(13)(a),0.895162;0.196557;0.184747;0.154771;0.131436,"(14)‘interested party’ means any natural or legal person or any official body, whether or not having its own legal personality, that is in a position to participate in the improvement of aviation safety by having access to information on oc",,,,
QA_0011,What is the subject matter of Regulation (EU) 2018/1139?,"Regulation (EU) 2018/1139 lays down rules on the reporting of occurrences that endanger aircraft and their occupants, analysis and follow-up actions, protection of aviation professionals, appropriate use of safety information, integration into the European Central Repository, and dissemination of anonymised information to improve aviation safety.",Article 3(1),EU_376_2014_ART_3,auto_mapped,high,0.291414,0.008211,EU_376_2014_ART_3__C0001;EU_376_2014_ART_3__C0007;EU_376_2014_ART_3__C0006;EU_376_2014_ART_3__C0008;EU_376_2014_ART_3__C0003,Article 3(1);Article 3(1)(f);Article 3(1)(e);Article 3(2);Article 3(1)(b),0.291414;0.283203;0.280572;0.276772;0.266508,1.This Regulation lays down rules on:,,,,
QA_0012,To what occurrences does Regulation (EU) 2018/1139 apply?,"This Regulation applies to occurrences and other safety-related information involving civil aircraft to which Regulation (EU) 2018/1139 applies. However, it does not apply to unmanned aircraft for which a certificate or declaration is not required, unless there is a fatal or serious injury or it involves other aircraft.",Article 3(2),EU_376_2014_ART_3,auto_mapped,low,0.728198,0.145072,EU_376_2014_ART_3__C0009;EU_376_2014_ART_3__C0010;EU_376_2014_ART_3__C0008;EU_376_2014_ART_3__C0002;EU_376_2014_ART_3__C0003,Article 3(2);Article 3(2);Article 3(2);Article 3(1)(a);Article 3(1)(b),0.728198;0.583126;0.560009;0.223672;0.143016,"However, this Regulation shall not apply to occurrences and other safety-related information involving unmanned aircraft for which a certificate or declaration is not required pursuant to Article 56(1) and (5) of Regulation (EU) 2018/1139, ",,,,
QA_0013,Are there exceptions to the application of Regulation (EU) 2018/1139?,"Yes, the Regulation does not apply to occurrences involving unmanned aircraft for which a certificate or declaration is not required, unless the occurrence resulted in a fatal or serious injury or involved other aircraft. Member States may also choose to apply this Regulation to other aircraft not covered by it.",Article 3(2),EU_376_2014_ART_3,auto_mapped,low,0.710106,0.11514,EU_376_2014_ART_3__C0009;EU_376_2014_ART_3__C0010;EU_376_2014_ART_3__C0008;EU_376_2014_ART_3__C0002;EU_376_2014_ART_3__C0003,Article 3(2);Article 3(2);Article 3(2);Article 3(1)(a);Article 3(1)(b),0.710106;0.594966;0.397007;0.163428;0.059882,"However, this Regulation shall not apply to occurrences and other safety-related information involving unmanned aircraft for which a certificate or declaration is not required pursuant to Article 56(1) and (5) of Regulation (EU) 2018/1139, ",,,,
QA_0014,What occurrences must be reported under Article 4?,"Occurrences that may represent a significant risk to aviation safety must be reported. These include categories related to aircraft operation, technical conditions, air navigation services, and aerodromes and ground services.",Article 4(1),EU_376_2014_ART_4,auto_mapped,high,0.466186,0.150494,EU_376_2014_ART_4__C0001;EU_376_2014_ART_4__C0020;EU_376_2014_ART_4__C0023;EU_376_2014_ART_4__C0016;EU_376_2014_ART_4__C0011,Article 4(1);Article 4(1)(d);Article 4(1)(d)(iii);Article 4(1)(c);Article 4(1)(b),0.466186;0.315692;0.31024;0.308408;0.291078,1.Occurrences which may represent a significant risk to aviation safety and which fall into the following categories shall be reported by the persons listed in paragraph 6 through the mandatory occurrence reporting systems pursuant to this ,,,,
QA_0015,Who is responsible for establishing a mandatory reporting system in a Member State?,"Each organisation established in a Member State is responsible for establishing a mandatory reporting system to collect details of occurrences. Additionally, each Member State must also establish a reporting system.",Article 4(2) and Article 4(3),EU_376_2014_ART_4,auto_mapped,high,0.481057,0.169187,EU_376_2014_ART_4__C0024;EU_376_2014_ART_4__C0025;EU_376_2014_ART_4__C0029;EU_376_2014_ART_4__C0038;EU_376_2014_ART_4__C0039,Article 4(2);Article 4(3);Article 4(6);Article 4(8);Article 4(9),0.481057;0.31187;0.252913;0.223829;0.202914,2.Each organisation established in a Member State shall establish a mandatory reporting system to facilitate the collection of details of occurrences referred to in paragraph 1.,,,,
QA_0016,What role does the European Aviation Safety Agency have regarding mandatory reporting?,"The European Aviation Safety Agency shall establish a mandatory reporting system to facilitate the collection of details of occurrences, including those collected by certified or approved organisations.",Article 4(4),EU_376_2014_ART_4,auto_mapped,low,0.746071,0.355619,EU_376_2014_ART_4__C0026;EU_376_2014_ART_4__C0025;EU_376_2014_ART_4__C0024;EU_376_2014_ART_4__C0039;EU_376_2014_ART_4__C0001,Article 4(4);Article 4(3);Article 4(2);Article 4(9);Article 4(1),0.746071;0.390452;0.304893;0.231483;0.204957,"4.The European Aviation Safety Agency (‘the Agency’) shall establish a mandatory reporting system to facilitate the collection of details of occurrences, including the collection of details of occurrences collected pursuant to paragraph 2 b",,,,
QA_0017,What is the obligation of each organisation established in a Member State regarding voluntary reporting?,Each organisation established in a Member State shall establish a voluntary reporting system to facilitate the collection of details of occurrences that may not be captured by the mandatory reporting system and other safety-related information perceived as a hazard to aviation safety.,Article 5(1),EU_376_2014_ART_5,auto_mapped,high,0.543599,0.123752,EU_376_2014_ART_5__C0001;EU_376_2014_ART_5__C0016;EU_376_2014_ART_5__C0002;EU_376_2014_ART_5__C0015;EU_376_2014_ART_5__C0004,Article 5(1);Article 5(6);Article 5(1)(a);Article 5(5);Article 5(2),0.543599;0.419847;0.359672;0.345048;0.338417,1.Each organisation established in a Member State shall establish a voluntary reporting system to facilitate the collection of:,,,,
QA_0018,What type of information is collected by the voluntary reporting systems?,The voluntary reporting systems shall collect details of occurrences and safety-related information not subject to mandatory reporting and reported by persons not listed in Article 4(6).,Article 5(4),EU_376_2014_ART_5,auto_mapped,high,0.546611,0.16828,EU_376_2014_ART_5__C0012;EU_376_2014_ART_5__C0017;EU_376_2014_ART_5__C0014;EU_376_2014_ART_5__C0013;EU_376_2014_ART_5__C0016,Article 5(4);Article 5(7);Article 5(4)(b);Article 5(4)(a);Article 5(6),0.546611;0.378331;0.375012;0.35796;0.27223,4.The voluntary reporting systems shall be used to facilitate the collection of details of occurrences and safety-related information:,,,,
QA_0019,Who is responsible for reporting safety-related information if an organisation is not certified or approved by the Agency?,Each organisation established in a Member State that is not certified or approved by the Agency shall report to the competent authority of that Member State the details of occurrences and safety-related information collected that may involve an aviation safety risk.,Article 5(6),EU_376_2014_ART_5,auto_mapped,low,0.720828,0.172353,EU_376_2014_ART_5__C0016;EU_376_2014_ART_5__C0015;EU_376_2014_ART_5__C0017;EU_376_2014_ART_5__C0012;EU_376_2014_ART_5__C0001,Article 5(6);Article 5(5);Article 5(7);Article 5(4);Article 5(1),0.720828;0.548475;0.226186;0.219259;0.212157,"6.Each organisation established in a Member State that is not certified or approved by the Agency shall, in a timely manner, report to the competent authority of that Member State, as designated pursuant to Article 6(3), the details of occu",,,,
QA_0020,What is the obligation of each organisation established in a Member State regarding the collection of occurrence details?,"Each organisation established in a Member State shall designate one or more persons to handle independently the collection, evaluation, processing, analysis and storage of details of occurrences reported pursuant to Articles 4 and 5. The handling of the reports shall be done with a view to preventing the use of information for purposes other than safety.",Article 6(1),EU_376_2014_ART_6,auto_mapped,low,0.682554,0.217169,EU_376_2014_ART_6__C0001;EU_376_2014_ART_6__C0002;EU_376_2014_ART_6__C0004;EU_376_2014_ART_6__C0005;EU_376_2014_ART_6__C0012,Article 6(1);Article 6(1);Article 6(3);Article 6(3);Article 6(4),0.682554;0.465385;0.332846;0.315385;0.315385,"1.Each organisation established in a Member State shall designate one or more persons to handle independently the collection, evaluation, processing, analysis and storage of details of occurrences reported pursuant to Articles 4 and 5.",,,,
QA_0021,What may small organisations do regarding the collection and storage of occurrence details?,"By agreement with the competent authority, small organisations may put in place a simplified mechanism for the collection, evaluation, processing, analysis and storage of details of occurrences. They may share those tasks with organisations of the same nature, while complying with the rules on confidentiality and protection pursuant to this Regulation.",Article 6(2),EU_376_2014_ART_6,auto_mapped,low,0.859425,0.666799,EU_376_2014_ART_6__C0003;EU_376_2014_ART_6__C0001;EU_376_2014_ART_6__C0004;EU_376_2014_ART_6__C0013;EU_376_2014_ART_6__C0014,Article 6(2);Article 6(1);Article 6(3);Article 6(5);Article 6(6),0.859425;0.192626;0.11591;0.109685;0.096597,"2.By agreement with the competent authority, small organisations may put in place a simplified mechanism for the collection, evaluation, processing, analysis and storage of details of occurrences. They may share those tasks with organisatio",,,,
QA_0022,Who is responsible for establishing a mechanism to collect and store occurrence details at the Member State level?,"Each Member State shall designate one or more competent authorities to establish a mechanism to independently collect, evaluate, process, analyse and store details of occurrences reported pursuant to Articles 4 and 5. The authorities may include the national civil aviation authority, the safety investigation authority, or any other independent body or entity based in the Union.",Article 6(3),EU_376_2014_ART_6,auto_mapped,low,0.639571,0.267404,EU_376_2014_ART_6__C0004;EU_376_2014_ART_6__C0011;EU_376_2014_ART_6__C0001;EU_376_2014_ART_6__C0010;EU_376_2014_ART_6__C0009,Article 6(3);Article 6(4);Article 6(1);Article 6(3)(c);Article 6(3)(c),0.639571;0.372167;0.299262;0.262961;0.251753,"3.Each Member State shall designate one or more competent authorities to establish a mechanism to independently collect, evaluate, process, analyse and store details of occurrences reported pursuant to Articles 4 and 5.",,,,
QA_0023,What information must occurrence reports contain according to Article 7?,"Occurrence reports referred to in Article 6 shall contain at least the information listed in Annex I. Additionally, reports mentioned in paragraphs 5, 6, and 8 of Article 6 must include a safety risk classification for the occurrence concerned.",Article 7(1),EU_376_2014_ART_7,auto_mapped,high,0.548173,0.129262,EU_376_2014_ART_7__C0001;EU_376_2014_ART_7__C0002;EU_376_2014_ART_7__C0004;EU_376_2014_ART_7__C0007;EU_376_2014_ART_7__C0009,Article 7(1);Article 7(2);Article 7(4);Article 7(5);Article 7(6),0.548173;0.418911;0.25878;0.164071;0.156353,1.Occurrence reports referred to in Article 6 shall contain at least the information listed in Annex I.,,,,
QA_0024,What is the deadline for the Commission to develop the common European risk classification scheme?,The Commission shall develop the common European risk classification scheme by 15 May 2017.,Article 7(5),EU_376_2014_ART_7,auto_mapped,low,0.581071,0.025999,EU_376_2014_ART_7__C0007;EU_376_2014_ART_7__C0008;EU_376_2014_ART_7__C0009;EU_376_2014_ART_7__C0002;EU_376_2014_ART_7__C0010,Article 7(5);Article 7(5);Article 7(6);Article 7(2);Article 7(7),0.581071;0.555072;0.35894;0.326398;0.314176,"5.The Commission, in close cooperation with the Member States and the Agency through the network of aviation safety analysts, referred to in Article 14(2), shall develop a common European risk classification scheme to enable the organisatio",,,,
QA_0025,Who is responsible for supporting the competent authorities of the Member States in data integration?,"The Commission and the Agency shall support the competent authorities of the Member States in their task of data integration, including the integration of minimum information and risk classification of occurrences.",Article 7(8),EU_376_2014_ART_7,auto_mapped,low,0.634402,0.311027,EU_376_2014_ART_7__C0011;EU_376_2014_ART_7__C0015;EU_376_2014_ART_7__C0007;EU_376_2014_ART_7__C0003;EU_376_2014_ART_7__C0012,Article 7(8);Article 7(8)(c);Article 7(5);Article 7(3);Article 7(8)(a),0.634402;0.323375;0.304606;0.248781;0.242417,"8.The Commission and the Agency shall support the competent authorities of the Member States in their task of data integration, including for example in:",,,,
QA_0026,What is the responsibility of the Commission regarding the European Central Repository?,"The Commission shall manage a European Central Repository to store all occurrence reports collected in the Union. Additionally, the Commission shall adopt the arrangements for the management of the repository by means of implementing acts.","Article 8, paragraph 1 and 4",EU_376_2014_ART_8,auto_mapped,high,0.465324,0.081512,EU_376_2014_ART_8__C0001;EU_376_2014_ART_8__C0004;EU_376_2014_ART_8__C0003;EU_376_2014_ART_8__C0002,Article 8(1);Article 8(4);Article 8(3);Article 8(2),0.465324;0.383812;0.298725;0.220157,1.The Commission shall manage a European Central Repository to store all occurrence reports collected in the Union.,,,,
QA_0027,What must each Member State do in relation to the European Central Repository?,"Each Member State shall, in agreement with the Commission, update the European Central Repository by transferring to it all information relating to safety stored in the national databases referred to in Article 6(6).","Article 8, paragraph 2",EU_376_2014_ART_8,auto_mapped,medium,0.661203,0.429448,EU_376_2014_ART_8__C0002;EU_376_2014_ART_8__C0003;EU_376_2014_ART_8__C0001;EU_376_2014_ART_8__C0004,Article 8(2);Article 8(3);Article 8(1);Article 8(4),0.661203;0.231755;0.216063;0.207109,"2.Each Member State shall, in agreement with the Commission, update the European Central Repository by transferring to it all information relating to safety stored in the national databases referred to in Article 6(6).",,,,
QA_0028,What information is the Agency required to transfer to the European Central Repository?,"The Agency shall agree with the Commission on the technical protocols for transferring to the European Central Repository all occurrence reports collected by the Agency under Regulation (EC) No 216/2008, particularly for occurrences stored in the Internal Occurrence Reporting System (IORS).","Article 8, paragraph 3",EU_376_2014_ART_8,auto_mapped,medium,0.684672,0.390942,EU_376_2014_ART_8__C0003;EU_376_2014_ART_8__C0001;EU_376_2014_ART_8__C0002;EU_376_2014_ART_8__C0004,Article 8(3);Article 8(1);Article 8(2);Article 8(4),0.684672;0.29373;0.246355;0.137746,"3.The Agency shall agree with the Commission the technical protocols for transferring to the European Central Repository all occurrence reports collected by the Agency under Regulation (EC) No 216/2008 and its implementing rules, particular",,,,
QA_0029,What is the timeline for transferring occurrence reports to the European Central Repository?,Occurrence reports shall be transferred to the European Central Repository no later than 30 days after having been entered in the national database.,Article 9(1),EU_376_2014_ART_9,auto_mapped,low,0.82471,0.532972,EU_376_2014_ART_9__C0002;EU_376_2014_ART_9__C0003;EU_376_2014_ART_9__C0001;EU_376_2014_ART_9__C0004;EU_376_2014_ART_9__C0009,Article 9(1);Article 9(1);Article 9(1);Article 9(2);Article 9(3),0.82471;0.291738;0.290534;0.173101;0.09797,Occurrence reports shall be transferred to the European Central Repository no later than 30 days after having been entered in the national database.,,,,
QA_0030,What information must Member States transfer related to accidents and serious incidents?,"Member States shall transfer preliminary factual information during the investigation and the final investigation report along with a summary in English when available, after the investigation is completed.",Article 9(2),EU_376_2014_ART_9,auto_mapped,high,0.48195,0.063736,EU_376_2014_ART_9__C0004;EU_376_2014_ART_9__C0005;EU_376_2014_ART_9__C0008;EU_376_2014_ART_9__C0001;EU_376_2014_ART_9__C0007,Article 9(2);Article 9(2)(a);Article 9(2)(b)(ii);Article 9(1);Article 9(2)(b)(i),0.48195;0.418214;0.348314;0.25574;0.252866,2.Member States shall also transfer information related to accidents and serious incidents to the European Central Repository as follows:,,,,
QA_0031,Under what circumstances must a Member State or the Agency forward safety-related information?,"A Member State or the Agency must forward pertinent safety-related information as soon as possible if it identifies safety matters that are of interest to other Member States or the Agency, or that may require safety action.",Article 9(3),EU_376_2014_ART_9,auto_mapped,low,0.607286,0.248542,EU_376_2014_ART_9__C0009;EU_376_2014_ART_9__C0011;EU_376_2014_ART_9__C0010;EU_376_2014_ART_9__C0001;EU_376_2014_ART_9__C0004,Article 9(3);Article 9(3)(b);Article 9(3)(a);Article 9(1);Article 9(2),0.607286;0.358744;0.309158;0.273181;0.138349,"3.A Member State or the Agency shall forward all pertinent safety-related information to the relevant authority of the Member State or the Agency as soon as possible if, while collecting details of occurrences or when storing occurrence rep",,,,
QA_0032,Who has secure full online access to information on occurrences in the European Central Repository?,"Any entity entrusted with regulating civil aviation safety, or any safety investigation authority, within the Union shall have secure full online access to information on occurrences contained in the European Central Repository.",Article 10(1),EU_376_2014_ART_10,auto_mapped,low,0.82808,0.600228,EU_376_2014_ART_10__C0001;EU_376_2014_ART_10__C0002;EU_376_2014_ART_10__C0003;EU_376_2014_ART_10__C0007;EU_376_2014_ART_10__C0008,Article 10(1);Article 10(1);Article 10(2);Article 10(3);Article 10(4),0.82808;0.227852;0.208412;0.19695;0.178976,"1.Any entity entrusted with regulating civil aviation safety, or any safety investigation authority, within the Union shall have secure full online access to information on occurrences contained in the European Central Repository.",,,,
QA_0033,What must interested parties established outside the Union do to request access to information?,Interested parties established outside the Union shall address their request to the Commission. The Commission shall inform the competent authority of the Member State concerned when a request is made pursuant to this paragraph.,Article 10(2),EU_376_2014_ART_10,auto_mapped,high,0.565174,0.026495,EU_376_2014_ART_10__C0006;EU_376_2014_ART_10__C0005;EU_376_2014_ART_10__C0004;EU_376_2014_ART_10__C0003;EU_376_2014_ART_10__C0008,Article 10(2);Article 10(2);Article 10(2);Article 10(2);Article 10(4),0.565174;0.538679;0.490796;0.331138;0.1488,The Commission shall inform the competent authority of the Member State concerned when a request is made pursuant to this paragraph.,,,,
QA_0034,Under what condition is information related to ongoing safety investigations not disclosed to interested parties?,"Subject to Article 15(2) of Regulation (EU) No 996/2010, information contained in the European Central Repository relating to ongoing safety investigations conducted in accordance with that Regulation shall not be disclosed to interested parties pursuant to this Article.",Article 10(3),EU_376_2014_ART_10,auto_mapped,low,0.831603,0.601902,EU_376_2014_ART_10__C0007;EU_376_2014_ART_10__C0003;EU_376_2014_ART_10__C0008;EU_376_2014_ART_10__C0001;EU_376_2014_ART_10__C0002,Article 10(3);Article 10(2);Article 10(4);Article 10(1);Article 10(1),0.831603;0.229701;0.210632;0.199173;0.132553,"3.Subject to Article 15(2) of Regulation (EU) No 996/2010, information contained in the European Central Repository relating to ongoing safety investigations conducted in accordance with that Regulation shall not be disclosed to interested ",,,,
QA_0035,What must requests for information contain?,Requests for information shall be submitted using forms approved by the point of contact and must contain at least the items set out in Annex III.,Article 11(1),EU_376_2014_ART_11,auto_mapped,low,0.78247,0.5747,EU_376_2014_ART_11__C0001;EU_376_2014_ART_11__C0008;EU_376_2014_ART_11__C0010;EU_376_2014_ART_11__C0007;EU_376_2014_ART_11__C0011,Article 11(1);Article 11(4);Article 11(5);Article 11(3);Article 11(6),0.78247;0.20777;0.202629;0.184276;0.165035,1.Requests for information contained in the European Central Repository shall be submitted using forms approved by the point of contact. Those forms shall contain at least the items set out in Annex III.,,,,
QA_0036,Under what conditions can a point of contact supply information to interested parties?,"A point of contact shall supply interested parties only with information relating to the interested party’s own equipment, operations or field of activity, and the information must be limited to what is strictly required for the purpose of the request.",Article 11(5),EU_376_2014_ART_11,auto_mapped,low,0.688825,0.309597,EU_376_2014_ART_11__C0010;EU_376_2014_ART_11__C0009;EU_376_2014_ART_11__C0012;EU_376_2014_ART_11__C0008;EU_376_2014_ART_11__C0011,Article 11(5);Article 11(4);Article 11(6)(a);Article 11(4);Article 11(6),0.688825;0.379228;0.318995;0.306057;0.298058,"5.The point of contact shall supply interested parties listed in point (b) of Annex II only with information relating to the interested party’s own equipment, operations or field of activity.",,,,
QA_0037,What are the conditions for an interested party to use the information received?,"The interested party shall use the information only for the purpose specified in the request form and shall not disclose the information received without the written consent of the information provider, ensuring appropriate confidentiality.",Article 11(7),EU_376_2014_ART_11,auto_mapped,medium,0.64555,0.197369,EU_376_2014_ART_11__C0017;EU_376_2014_ART_11__C0015;EU_376_2014_ART_11__C0016;EU_376_2014_ART_11__C0009;EU_376_2014_ART_11__C0008,Article 11(7)(b);Article 11(7);Article 11(7)(a);Article 11(4);Article 11(4),0.64555;0.448181;0.447599;0.368796;0.245675,(b)the interested party shall not disclose the information received without the written consent of the information provider and shall take the necessary measures to ensure appropriate confidentiality of the information received.,,,,
QA_0038,What must the point of contact do with each request received?,The point of contact shall record each request received and the action taken pursuant to that request. This information must be transmitted in a timely manner to the Commission whenever a request is received and/or action is taken.,Article 12(1),EU_376_2014_ART_12,auto_mapped,high,0.59502,0.023018,EU_376_2014_ART_12__C0001;EU_376_2014_ART_12__C0002;EU_376_2014_ART_12__C0003,Article 12(1);Article 12(1);Article 12(2),0.59502;0.572002;0.23986,1.The point of contact shall record each request received and the action taken pursuant to that request.,,,,
QA_0039,Who is responsible for making available the updated list of requests and actions?,The Commission shall make available the updated list of requests received and action taken by the various points of contact and by the Commission itself to all points of contact.,Article 12(2),EU_376_2014_ART_12,auto_mapped,low,0.81698,0.613488,EU_376_2014_ART_12__C0003;EU_376_2014_ART_12__C0002;EU_376_2014_ART_12__C0001,Article 12(2);Article 12(1);Article 12(1),0.81698;0.203492;0.195409,2.The Commission shall make available the updated list of requests received and action taken by the various points of contact and by the Commission itself to all points of contact.,,,,
QA_0040,What is the timeline for transmitting information about requests to the Commission?,The information regarding each request and the action taken must be transmitted in a timely manner to the Commission whenever a request is received and/or action is taken.,Article 12(1),EU_376_2014_ART_12,auto_mapped,low,0.635658,0.197851,EU_376_2014_ART_12__C0002;EU_376_2014_ART_12__C0001;EU_376_2014_ART_12__C0003,Article 12(1);Article 12(1);Article 12(2),0.635658;0.437807;0.251975,That information shall be transmitted in a timely manner to the Commission whenever a request is received and/or action is taken.,,,,
QA_0041,What is the obligation of organizations established in a Member State regarding occurrence analysis?,Each organization established in a Member State shall develop a process to analyse occurrences collected in accordance with Articles 4(2) and 5(1) to identify safety hazards and determine appropriate corrective or preventive actions to improve aviation safety.,"Article 13, paragraph 1",EU_376_2014_ART_13,auto_mapped,high,0.547195,0.056552,EU_376_2014_ART_13__C0017;EU_376_2014_ART_13__C0001;EU_376_2014_ART_13__C0007;EU_376_2014_ART_13__C0003;EU_376_2014_ART_13__C0012,Article 13(6);Article 13(1);Article 13(4);Article 13(2);Article 13(5),0.547195;0.490643;0.344833;0.328473;0.299315,"6.Each Member State and the Agency shall develop a process to analyse the information relating to occurrences which are directly reported to them in accordance with Articles 4(6), 5(2) and 5(3) in order to identify the safety hazards associ",,,,
QA_0042,What is the timeline for an organization to transmit preliminary results of an analysis to the competent authority?,An organization shall transmit the preliminary results of the analysis to the competent authority within 30 days from the date of notification of the occurrence by the reporter.,"Article 13, paragraph 4",EU_376_2014_ART_13,auto_mapped,high,0.383448,0.028565,EU_376_2014_ART_13__C0007;EU_376_2014_ART_13__C0011;EU_376_2014_ART_13__C0012;EU_376_2014_ART_13__C0016;EU_376_2014_ART_13__C0015,Article 13(4);Article 13(4)(b);Article 13(5);Article 13(5)(b);Article 13(5)(b),0.383448;0.354883;0.319871;0.283006;0.263586,4.Where an organisation established in a Member State which is not covered by paragraph 5 identifies an actual or potential aviation safety risk as a result of its analysis of occurrences or group of occurrences reported pursuant to Article,,,,
